route_id,date,origin,destination,distance_km,avg_fare,currency,pax_boarded,load_factor,revenue,refunds_issued,is_govt_capped,cap_fare_limit,season_tag,cap_applied_flag
SXR-CCU,2025-11-05,SXR,CCU,1061,9594.13,INR,161,0.87,1544654.93,0,0,,NORMAL,False
SXR-COK,2025-11-05,SXR,COK,570,5492.87,INR,84,0.45,461401.08,0,0,,NORMAL,False
BHO-COK,2025-11-05,BHO,COK,2578,17692.8,INR,143,0.77,2530070.4,0,0,,NORMAL,False
BHO-MAA,2025-11-05,BHO,MAA,388,5311.07,INR,124,0.67,658572.68,0,0,,NORMAL,False
ATQ-BOM,2025-11-05,ATQ,BOM,1667,12528.6,INR,169,0.91,2117333.4,0,0,,NORMAL,False
SXR-GAU,2025-11-05,SXR,GAU,2182,15013.09,INR,157,0.84,2357055.13,0,0,,NORMAL,False
DEL-ATQ,2025-11-05,DEL,ATQ,1123,10350.61,INR,167,0.9,1728551.87,0,0,,NORMAL,False
JAI-BLR,2025-11-05,JAI,BLR,935,9088.15,INR,91,0.49,827021.65,0,0,,NORMAL,False
JAI-PNQ,2025-11-05,JAI,PNQ,716,7366.4,INR,86,0.46,633510.4,0,0,,NORMAL,False
GAU-HYD,2025-11-05,GAU,HYD,2522,17859.95,INR,167,0.9,2982611.65,0,0,,NORMAL,False
LKO-DEL,2025-11-05,LKO,DEL,2280,14216.36,INR,169,0.91,2402564.84,0,0,,NORMAL,False
MAA-LKO,2025-11-05,MAA,LKO,1657,13273.46,INR,84,0.45,1114970.64,0,0,,NORMAL,False
AMD-HYD,2025-11-05,AMD,HYD,833,7740.15,INR,159,0.85,1230683.85,0,0,,NORMAL,False
BLR-LKO,2025-11-05,BLR,LKO,1890,14868.99,INR,85,0.46,1263864.15,0,0,,NORMAL,False
GOI-MAA,2025-11-05,GOI,MAA,2601,18544.74,INR,184,0.99,3412232.16,0,0,,NORMAL,False
IXB-IXC,2025-11-05,IXB,IXC,400,5033.88,INR,129,0.69,649370.52,0,0,,NORMAL,False
AMD-PNQ,2025-11-05,AMD,PNQ,1832,14240.59,INR,116,0.62,1651908.44,0,0,,NORMAL,False
IXB-VNS,2025-11-05,IXB,VNS,1498,9860.01,INR,179,0.96,1764941.79,0,0,,NORMAL,False
PNQ-MAA,2025-11-05,PNQ,MAA,2324,14270.87,INR,108,0.58,1541253.96,0,0,,NORMAL,False
COK-GOI,2025-11-05,COK,GOI,1528,11432.78,INR,122,0.66,1394799.16,0,0,,NORMAL,False
GAU-BLR,2025-11-05,GAU,BLR,2515,17026.1,INR,83,0.45,1413166.3,0,0,,NORMAL,False
VNS-DEL,2025-11-05,VNS,DEL,1543,12123.36,INR,89,0.48,1078979.04,0,0,,NORMAL,False
IXC-GAU,2025-11-05,IXC,GAU,2210,13274.67,INR,186,1.0,2469088.62,0,0,,NORMAL,False
BLR-ATQ,2025-11-05,BLR,ATQ,2227,16353.66,INR,174,0.94,2845536.84,0,0,,NORMAL,False
IXB-AMD,2025-11-05,IXB,AMD,1243,10411.19,INR,150,0.81,1561678.5,0,0,,NORMAL,False
IXC-BLR,2025-11-05,IXC,BLR,1759,12601.08,INR,166,0.89,2091779.28,0,0,,NORMAL,False
GOI-IXC,2025-11-05,GOI,IXC,641,6995.09,INR,91,0.49,636553.19,0,0,,NORMAL,False
BHO-ATQ,2025-11-05,BHO,ATQ,1473,9565.1,INR,182,0.98,1740848.2,0,0,,NORMAL,False
MAA-BHO,2025-11-05,MAA,BHO,1594,10836.74,INR,113,0.61,1224551.62,0,0,,NORMAL,False
LKO-IXB,2025-11-05,LKO,IXB,2355,13069.94,INR,134,0.72,1751371.96,0,0,,NORMAL,False
BHO-BOM,2025-11-05,BHO,BOM,2621,17457.91,INR,172,0.92,3002760.52,0,0,,NORMAL,False
GAU-IXB,2025-11-05,GAU,IXB,436,5152.62,INR,97,0.52,499804.14,0,0,,NORMAL,False
COK-BLR,2025-11-05,COK,BLR,1861,10887.49,INR,181,0.97,1970635.69,0,0,,NORMAL,False
BOM-PAT,2025-11-05,BOM,PAT,2603,17217.98,INR,147,0.79,2531043.06,0,0,,NORMAL,False
BLR-VNS,2025-11-05,BLR,VNS,1365,9826.17,INR,173,0.93,1699927.41,0,0,,NORMAL,False
BOM-LKO,2025-11-05,BOM,LKO,2192,14636.55,INR,176,0.95,2576032.8,0,0,,NORMAL,False
ATQ-MAA,2025-11-05,ATQ,MAA,1294,11415.21,INR,183,0.98,2088983.43,0,0,,NORMAL,False
AMD-BHO,2025-11-05,AMD,BHO,2757,16890.49,INR,112,0.6,1891734.88,0,0,,NORMAL,False
LKO-BLR,2025-11-05,LKO,BLR,885,8606.55,INR,89,0.48,765982.95,0,0,,NORMAL,False
SXR-LKO,2025-11-05,SXR,LKO,696,6666.63,INR,96,0.52,639996.48,0,0,,NORMAL,False
GOI-LKO,2025-11-05,GOI,LKO,452,5653.2,INR,127,0.68,717956.4,0,0,,NORMAL,False
HYD-GAU,2025-11-05,HYD,GAU,772,6523.47,INR,116,0.62,756722.52,0,0,,NORMAL,False
BLR-PAT,2025-11-05,BLR,PAT,2604,18139.7,INR,171,0.92,3101888.7,0,0,,NORMAL,False
COK-GAU,2025-11-05,COK,GAU,371,5956.64,INR,171,0.92,1018585.44,0,0,,NORMAL,False
VNS-PNQ,2025-11-05,VNS,PNQ,1500,10959.43,INR,155,0.83,1698711.65,0,0,,NORMAL,False
VNS-BLR,2025-11-05,VNS,BLR,1449,12111.92,INR,111,0.6,1344423.12,0,0,,NORMAL,False
SXR-BLR,2025-11-05,SXR,BLR,2514,15640.63,INR,174,0.94,2721469.62,0,0,,NORMAL,False
IXB-HYD,2025-11-05,IXB,HYD,2141,16213.57,INR,172,0.92,2788734.04,0,0,,NORMAL,False
HYD-BOM,2025-11-05,HYD,BOM,474,5993.03,INR,184,0.99,1102717.52,0,0,,NORMAL,False
IXC-SXR,2025-11-05,IXC,SXR,2286,15100.68,INR,139,0.75,2098994.52,0,0,,NORMAL,False
JAI-AMD,2025-11-05,JAI,AMD,2316,13721.43,INR,183,0.98,2511021.69,0,0,,NORMAL,False
IXC-PAT,2025-11-05,IXC,PAT,2351,13187.15,INR,92,0.49,1213217.8,0,0,,NORMAL,False
GOI-SXR,2025-11-05,GOI,SXR,2105,13710.99,INR,129,0.69,1768717.71,0,0,,NORMAL,False
VNS-AMD,2025-11-05,VNS,AMD,449,5962.62,INR,159,0.85,948056.58,0,0,,NORMAL,False
ATQ-IXB,2025-11-05,ATQ,IXB,2004,13341.23,INR,125,0.67,1667653.75,0,0,,NORMAL,False
GAU-VNS,2025-11-05,GAU,VNS,512,5791.78,INR,128,0.69,741347.84,0,0,,NORMAL,False
PAT-CCU,2025-11-05,PAT,CCU,1721,13072.85,INR,129,0.69,1686397.65,0,0,,NORMAL,False
JAI-LKO,2025-11-05,JAI,LKO,818,6968.01,INR,182,0.98,1268177.82,0,0,,NORMAL,False
PAT-AMD,2025-11-05,PAT,AMD,694,6278.2,INR,89,0.48,558759.8,0,0,,NORMAL,False
AMD-BOM,2025-11-05,AMD,BOM,1739,13351.05,INR,128,0.69,1708934.4,0,0,,NORMAL,False
JAI-HYD,2025-11-05,JAI,HYD,2090,15990.4,INR,103,0.55,1647011.2,0,0,,NORMAL,False
DEL-AMD,2025-11-05,DEL,AMD,1723,13446.1,INR,178,0.96,2393405.8,0,0,,NORMAL,False
BLR-GOI,2025-11-05,BLR,GOI,1068,8943.59,INR,106,0.57,948020.54,0,0,,NORMAL,False
GOI-AMD,2025-11-05,GOI,AMD,1753,11295.05,INR,87,0.47,982669.35,0,0,,NORMAL,False
LKO-AMD,2025-11-05,LKO,AMD,2160,14907.55,INR,124,0.67,1848536.2,0,0,,NORMAL,False
COK-IXB,2025-11-05,COK,IXB,1321,10400.13,INR,106,0.57,1102413.78,0,0,,NORMAL,False
GOI-ATQ,2025-11-05,GOI,ATQ,2640,14659.09,INR,129,0.69,1891022.61,0,0,,NORMAL,False
COK-BHO,2025-11-05,COK,BHO,1500,12612.8,INR,128,0.69,1614438.4,0,0,,NORMAL,False
CCU-PNQ,2025-11-05,CCU,PNQ,2536,15880.01,INR,176,0.95,2794881.76,0,0,,NORMAL,False
SXR-HYD,2025-11-05,SXR,HYD,1385,9753.18,INR,131,0.7,1277666.58,0,0,,NORMAL,False
GOI-IXB,2025-11-05,GOI,IXB,909,9051.94,INR,114,0.61,1031921.16,0,0,,NORMAL,False
ATQ-IXC,2025-11-05,ATQ,IXC,939,7885.41,INR,85,0.46,670259.85,0,0,,NORMAL,False
BLR-IXB,2025-11-05,BLR,IXB,2481,15645.76,INR,183,0.98,2863174.08,0,0,,NORMAL,False
BHO-AMD,2025-11-05,BHO,AMD,2399,17526.26,INR,120,0.65,2103151.2,0,0,,NORMAL,False
ATQ-SXR,2025-11-05,ATQ,SXR,1130,9629.11,INR,186,1.0,1791014.46,0,0,,NORMAL,False
PNQ-BHO,2025-11-05,PNQ,BHO,2655,19147.64,INR,157,0.84,3006179.48,0,0,,NORMAL,False
ATQ-PNQ,2025-11-05,ATQ,PNQ,1245,10603.98,INR,133,0.72,1410329.34,0,0,,NORMAL,False
GAU-IXC,2025-11-05,GAU,IXC,1050,9657.79,INR,132,0.71,1274828.28,0,0,,NORMAL,False
BLR-SXR,2025-11-05,BLR,SXR,345,5100.41,INR,82,0.44,418233.62,0,0,,NORMAL,False
GAU-BOM,2025-11-05,GAU,BOM,2402,15103.63,INR,151,0.81,2280648.13,0,0,,NORMAL,False
MAA-AMD,2025-11-05,MAA,AMD,878,6895.57,INR,172,0.92,1186038.04,0,0,,NORMAL,False
IXB-GOI,2025-11-05,IXB,GOI,616,6159.08,INR,157,0.84,966975.56,0,0,,NORMAL,False
DEL-JAI,2025-11-05,DEL,JAI,356,6016.2,INR,155,0.83,932511.0,0,0,,NORMAL,False
HYD-COK,2025-11-05,HYD,COK,609,6318.16,INR,90,0.48,568634.4,0,0,,NORMAL,False
GAU-MAA,2025-11-05,GAU,MAA,2210,14792.97,INR,140,0.75,2071015.8,0,0,,NORMAL,False
AMD-PAT,2025-11-05,AMD,PAT,1511,9837.17,INR,128,0.69,1259157.76,0,0,,NORMAL,False
PAT-MAA,2025-11-05,PAT,MAA,1229,10438.87,INR,132,0.71,1377930.84,0,0,,NORMAL,False
BOM-VNS,2025-11-05,BOM,VNS,1867,13677.83,INR,131,0.7,1791795.73,0,0,,NORMAL,False
IXC-JAI,2025-11-05,IXC,JAI,1084,9083.94,INR,126,0.68,1144576.44,0,0,,NORMAL,False
GAU-PAT,2025-11-05,GAU,PAT,2256,15607.85,INR,150,0.81,2341177.5,0,0,,NORMAL,False
COK-PAT,2025-11-05,COK,PAT,1488,10138.55,INR,85,0.46,861776.75,0,0,,NORMAL,False
ATQ-CCU,2025-11-05,ATQ,CCU,848,6861.04,INR,88,0.47,603771.52,0,0,,NORMAL,False
JAI-SXR,2025-11-05,JAI,SXR,2373,17077.26,INR,125,0.67,2134657.5,0,0,,NORMAL,False
JAI-DEL,2025-11-05,JAI,DEL,1237,10082.76,INR,120,0.65,1209931.2,0,0,,NORMAL,False
BOM-BLR,2025-11-05,BOM,BLR,2219,15862.87,INR,89,0.48,1411795.43,0,0,,NORMAL,False
DEL-GOI,2025-11-05,DEL,GOI,2015,12567.8,INR,84,0.45,1055695.2,0,0,,NORMAL,False
GOI-BHO,2025-11-05,GOI,BHO,1315,10423.43,INR,113,0.61,1177847.59,0,0,,NORMAL,False
LKO-IXC,2025-11-05,LKO,IXC,579,7352.63,INR,93,0.5,683794.59,0,0,,NORMAL,False
JAI-ATQ,2025-11-05,JAI,ATQ,1268,11199.21,INR,90,0.48,1007928.9,0,0,,NORMAL,False
SXR-VNS,2025-11-05,SXR,VNS,830,7529.04,INR,177,0.95,1332640.08,0,0,,NORMAL,False
DEL-PNQ,2025-11-05,DEL,PNQ,842,6942.84,INR,154,0.83,1069197.36,0,0,,NORMAL,False
CCU-SXR,2025-11-05,CCU,SXR,1250,11122.57,INR,143,0.77,1590527.51,0,0,,NORMAL,False
AMD-JAI,2025-11-05,AMD,JAI,1655,10064.44,INR,83,0.45,835348.52,0,0,,NORMAL,False
BOM-SXR,2025-11-05,BOM,SXR,1103,9512.74,INR,118,0.63,1122503.32,0,0,,NORMAL,False
MAA-IXB,2025-11-05,MAA,IXB,1331,10995.39,INR,138,0.74,1517363.82,0,0,,NORMAL,False
VNS-GOI,2025-11-05,VNS,GOI,1949,14279.62,INR,183,0.98,2613170.46,0,0,,NORMAL,False
BLR-MAA,2025-11-05,BLR,MAA,1957,13185.13,INR,183,0.98,2412878.79,0,0,,NORMAL,False
BHO-JAI,2025-11-05,BHO,JAI,1307,9624.12,INR,172,0.92,1655348.64,0,0,,NORMAL,False
GAU-BHO,2025-11-05,GAU,BHO,1710,13050.99,INR,130,0.7,1696628.7,0,0,,NORMAL,False
GAU-GOI,2025-11-05,GAU,GOI,707,6208.56,INR,80,0.43,496684.8,0,0,,NORMAL,False
AMD-GOI,2025-11-05,AMD,GOI,1591,10205.22,INR,153,0.82,1561398.66,0,0,,NORMAL,False
IXC-COK,2025-11-05,IXC,COK,1283,9382.31,INR,110,0.59,1032054.1,0,0,,NORMAL,False
PNQ-PAT,2025-11-05,PNQ,PAT,2015,13521.26,INR,132,0.71,1784806.32,0,0,,NORMAL,False
DEL-CCU,2025-11-05,DEL,CCU,2064,13518.19,INR,153,0.82,2068283.07,0,0,,NORMAL,False
ATQ-AMD,2025-11-05,ATQ,AMD,1727,13756.46,INR,124,0.67,1705801.04,0,0,,NORMAL,False
MAA-IXC,2025-11-05,MAA,IXC,501,6316.95,INR,170,0.91,1073881.5,0,0,,NORMAL,False
MAA-CCU,2025-11-05,MAA,CCU,746,6934.21,INR,172,0.92,1192684.12,0,0,,NORMAL,False
ATQ-COK,2025-11-05,ATQ,COK,1946,14940.69,INR,141,0.76,2106637.29,0,0,,NORMAL,False
GAU-SXR,2025-11-05,GAU,SXR,1776,12800.05,INR,134,0.72,1715206.7,0,0,,NORMAL,False
GOI-VNS,2025-11-05,GOI,VNS,781,7012.24,INR,186,1.0,1304276.64,0,0,,NORMAL,False
COK-DEL,2025-11-05,COK,DEL,1384,9385.08,INR,158,0.85,1482842.64,0,0,,NORMAL,False
CCU-VNS,2025-11-05,CCU,VNS,446,5923.61,INR,152,0.82,900388.72,0,0,,NORMAL,False
SXR-IXC,2025-11-05,SXR,IXC,640,6786.04,INR,160,0.86,1085766.4,0,0,,NORMAL,False
LKO-VNS,2025-11-05,LKO,VNS,824,7531.72,INR,110,0.59,828489.2,0,0,,NORMAL,False
LKO-GAU,2025-11-05,LKO,GAU,2268,16002.78,INR,160,0.86,2560444.8,0,0,,NORMAL,False
COK-VNS,2025-11-05,COK,VNS,2735,18491.19,INR,160,0.86,2958590.4,0,0,,NORMAL,False
PAT-IXB,2025-11-05,PAT,IXB,465,5828.89,INR,129,0.69,751926.81,0,0,,NORMAL,False
HYD-IXC,2025-11-05,HYD,IXC,1774,11744.47,INR,128,0.69,1503292.16,0,0,,NORMAL,False
IXB-LKO,2025-11-05,IXB,LKO,1239,9151.44,INR,103,0.55,942598.32,0,0,,NORMAL,False
PAT-PNQ,2025-11-05,PAT,PNQ,1571,10844.66,INR,90,0.48,976019.4,0,0,,NORMAL,False
MAA-ATQ,2025-11-05,MAA,ATQ,2032,15246.36,INR,169,0.91,2576634.84,0,0,,NORMAL,False
DEL-BLR,2025-11-05,DEL,BLR,1874,13604.61,INR,128,0.69,1741390.08,0,0,,NORMAL,False
COK-SXR,2025-11-05,COK,SXR,1634,10973.36,INR,123,0.66,1349723.28,0,0,,NORMAL,False
BOM-HYD,2025-11-05,BOM,HYD,2443,15082.37,INR,167,0.9,2518755.79,0,0,,NORMAL,False
HYD-VNS,2025-11-05,HYD,VNS,923,9137.12,INR,176,0.95,1608133.12,0,0,,NORMAL,False
PNQ-AMD,2025-11-05,PNQ,AMD,1203,8972.98,INR,133,0.72,1193406.34,0,0,,NORMAL,False
SXR-PAT,2025-11-05,SXR,PAT,702,7035.25,INR,163,0.88,1146745.75,0,0,,NORMAL,False
GOI-BLR,2025-11-05,GOI,BLR,1148,8248.58,INR,136,0.73,1121806.88,0,0,,NORMAL,False
CCU-COK,2025-11-05,CCU,COK,1358,10558.33,INR,168,0.9,1773799.44,0,0,,NORMAL,False
LKO-CCU,2025-11-05,LKO,CCU,1188,8583.88,INR,102,0.55,875555.76,0,0,,NORMAL,False
PNQ-ATQ,2025-11-05,PNQ,ATQ,636,6500.88,INR,172,0.92,1118151.36,0,0,,NORMAL,False
PNQ-VNS,2025-11-05,PNQ,VNS,1493,12216.45,INR,113,0.61,1380458.85,0,0,,NORMAL,False
JAI-IXB,2025-11-05,JAI,IXB,1296,10100.38,INR,134,0.72,1353450.92,0,0,,NORMAL,False
BOM-DEL,2025-11-05,BOM,DEL,2314,13273.23,INR,116,0.62,1539694.68,0,0,,NORMAL,False
PAT-BHO,2025-11-05,PAT,BHO,1743,10388.01,INR,82,0.44,851816.82,0,0,,NORMAL,False
BLR-AMD,2025-11-05,BLR,AMD,2732,15495.76,INR,128,0.69,1983457.28,0,0,,NORMAL,False
COK-CCU,2025-11-05,COK,CCU,1835,10779.51,INR,86,0.46,927037.86,0,0,,NORMAL,False
PAT-COK,2025-11-05,PAT,COK,2757,15954.08,INR,110,0.59,1754948.8,0,0,,NORMAL,False
VNS-HYD,2025-11-05,VNS,HYD,429,4910.84,INR,172,0.92,844664.48,0,0,,NORMAL,False
JAI-BHO,2025-11-05,JAI,BHO,2013,12106.98,INR,184,0.99,2227684.32,0,0,,NORMAL,False
IXC-AMD,2025-11-05,IXC,AMD,2022,15261.65,INR,167,0.9,2548695.55,0,0,,NORMAL,False
GOI-BOM,2025-11-05,GOI,BOM,1420,10271.95,INR,160,0.86,1643512.0,0,0,,NORMAL,False
HYD-IXB,2025-11-05,HYD,IXB,1151,9290.78,INR,117,0.63,1087021.26,0,0,,NORMAL,False
IXC-ATQ,2025-11-05,IXC,ATQ,1821,10769.2,INR,110,0.59,1184612.0,0,0,,NORMAL,False
ATQ-BHO,2025-11-05,ATQ,BHO,2026,12718.98,INR,99,0.53,1259179.02,0,0,,NORMAL,False
BLR-CCU,2025-11-05,BLR,CCU,2072,14577.68,INR,160,0.86,2332428.8,0,0,,NORMAL,False
COK-LKO,2025-11-05,COK,LKO,2202,12832.29,INR,179,0.96,2296979.91,0,0,,NORMAL,False
PAT-DEL,2025-11-05,PAT,DEL,761,7422.6,INR,139,0.75,1031741.4,0,0,,NORMAL,False
VNS-COK,2025-11-05,VNS,COK,1805,11693.07,INR,98,0.53,1145920.86,0,0,,NORMAL,False
VNS-MAA,2025-11-05,VNS,MAA,1832,13572.08,INR,119,0.64,1615077.52,0,0,,NORMAL,False
LKO-SXR,2025-11-05,LKO,SXR,1530,12241.99,INR,138,0.74,1689394.62,0,0,,NORMAL,False
HYD-JAI,2025-11-06,HYD,JAI,2761,16605.16,INR,148,0.8,2457563.68,0,0,,NORMAL,False
BOM-ATQ,2025-11-06,BOM,ATQ,2675,16557.82,INR,134,0.72,2218747.88,0,0,,NORMAL,False
HYD-GAU,2025-11-06,HYD,GAU,2018,15140.96,INR,130,0.7,1968324.8,0,0,,NORMAL,False
BLR-PNQ,2025-11-06,BLR,PNQ,890,8966.89,INR,177,0.95,1587139.53,0,0,,NORMAL,False
HYD-PAT,2025-11-06,HYD,PAT,1343,9510.37,INR,90,0.48,855933.3,0,0,,NORMAL,False
AMD-LKO,2025-11-06,AMD,LKO,2020,13849.47,INR,115,0.62,1592689.05,0,0,,NORMAL,False
HYD-COK,2025-11-06,HYD,COK,2385,15526.73,INR,110,0.59,1707940.3,0,0,,NORMAL,False
PAT-PNQ,2025-11-06,PAT,PNQ,998,7987.62,INR,84,0.45,670960.08,0,0,,NORMAL,False
DEL-MAA,2025-11-06,DEL,MAA,2297,15419.08,INR,103,0.55,1588165.24,0,0,,NORMAL,False
COK-GOI,2025-11-06,COK,GOI,794,6405.28,INR,103,0.55,659743.84,0,0,,NORMAL,False
BHO-JAI,2025-11-06,BHO,JAI,2411,16091.96,INR,176,0.95,2832184.96,0,0,,NORMAL,False
IXB-ATQ,2025-11-06,IXB,ATQ,2187,13054.13,INR,84,0.45,1096546.92,0,0,,NORMAL,False
GOI-BOM,2025-11-06,GOI,BOM,702,7280.07,INR,176,0.95,1281292.32,0,0,,NORMAL,False
GOI-SXR,2025-11-06,GOI,SXR,2058,14476.44,INR,145,0.78,2099083.8,0,0,,NORMAL,False
BHO-BLR,2025-11-06,BHO,BLR,372,5035.33,INR,82,0.44,412897.06,0,0,,NORMAL,False
GOI-HYD,2025-11-06,GOI,HYD,2473,13709.11,INR,132,0.71,1809602.52,0,0,,NORMAL,False
IXB-LKO,2025-11-06,IXB,LKO,930,9147.71,INR,83,0.45,759259.93,0,0,,NORMAL,False
SXR-GAU,2025-11-06,SXR,GAU,1087,9181.71,INR,156,0.84,1432346.76,0,0,,NORMAL,False
BLR-SXR,2025-11-06,BLR,SXR,1782,12842.91,INR,183,0.98,2350252.53,0,0,,NORMAL,False
AMD-SXR,2025-11-06,AMD,SXR,1490,12542.2,INR,97,0.52,1216593.4,0,0,,NORMAL,False
SXR-BOM,2025-11-06,SXR,BOM,1904,12652.49,INR,138,0.74,1746043.62,0,0,,NORMAL,False
JAI-GAU,2025-11-06,JAI,GAU,1431,9327.1,INR,149,0.8,1389737.9,0,0,,NORMAL,False
IXB-PAT,2025-11-06,IXB,PAT,2124,13984.02,INR,119,0.64,1664098.38,0,0,,NORMAL,False
GAU-VNS,2025-11-06,GAU,VNS,2775,18050.92,INR,184,0.99,3321369.28,0,0,,NORMAL,False
IXC-HYD,2025-11-06,IXC,HYD,2689,18058.2,INR,94,0.51,1697470.8,0,0,,NORMAL,False
MAA-VNS,2025-11-06,MAA,VNS,955,8123.53,INR,104,0.56,844847.12,0,0,,NORMAL,False
HYD-BLR,2025-11-06,HYD,BLR,390,5981.06,INR,134,0.72,801462.04,0,0,,NORMAL,False
PAT-JAI,2025-11-06,PAT,JAI,2575,17134.67,INR,154,0.83,2638739.18,0,0,,NORMAL,False
VNS-SXR,2025-11-06,VNS,SXR,973,8946.97,INR,150,0.81,1342045.5,0,0,,NORMAL,False
HYD-AMD,2025-11-06,HYD,AMD,669,7147.5,INR,170,0.91,1215075.0,0,0,,NORMAL,False
SXR-COK,2025-11-06,SXR,COK,2467,16695.4,INR,141,0.76,2354051.4,0,0,,NORMAL,False
MAA-SXR,2025-11-06,MAA,SXR,924,8020.45,INR,93,0.5,745901.85,0,0,,NORMAL,False
HYD-DEL,2025-11-06,HYD,DEL,1688,11905.01,INR,170,0.91,2023851.7,0,0,,NORMAL,False
ATQ-BHO,2025-11-06,ATQ,BHO,2438,15211.98,INR,105,0.56,1597257.9,0,0,,NORMAL,False
PNQ-ATQ,2025-11-06,PNQ,ATQ,1512,10095.97,INR,173,0.93,1746602.81,0,0,,NORMAL,False
AMD-HYD,2025-11-06,AMD,HYD,1769,13342.72,INR,90,0.48,1200844.8,0,0,,NORMAL,False
IXB-GOI,2025-11-06,IXB,GOI,1317,11444.82,INR,120,0.65,1373378.4,0,0,,NORMAL,False
CCU-IXB,2025-11-06,CCU,IXB,1369,9308.19,INR,179,0.96,1666166.01,0,0,,NORMAL,False
IXC-BLR,2025-11-06,IXC,BLR,1078,8208.93,INR,132,0.71,1083578.76,0,0,,NORMAL,False
BHO-CCU,2025-11-06,BHO,CCU,2007,15110.26,INR,114,0.61,1722569.64,0,0,,NORMAL,False
PNQ-IXC,2025-11-06,PNQ,IXC,2001,15524.32,INR,174,0.94,2701231.68,0,0,,NORMAL,False
MAA-JAI,2025-11-06,MAA,JAI,2116,15360.7,INR,173,0.93,2657401.1,0,0,,NORMAL,False
SXR-BLR,2025-11-06,SXR,BLR,2571,15378.67,INR,186,1.0,2860432.62,0,0,,NORMAL,False
LKO-COK,2025-11-06,LKO,COK,1942,12352.77,INR,131,0.7,1618212.87,0,0,,NORMAL,False
VNS-IXB,2025-11-06,VNS,IXB,2123,14796.41,INR,156,0.84,2308239.96,0,0,,NORMAL,False
PNQ-AMD,2025-11-06,PNQ,AMD,2519,17529.91,INR,183,0.98,3207973.53,0,0,,NORMAL,False
IXC-COK,2025-11-06,IXC,COK,1036,9634.9,INR,89,0.48,857506.1,0,0,,NORMAL,False
IXC-PNQ,2025-11-06,IXC,PNQ,934,8442.5,INR,183,0.98,1544977.5,0,0,,NORMAL,False
SXR-IXC,2025-11-06,SXR,IXC,2697,15632.91,INR,177,0.95,2767025.07,0,0,,NORMAL,False
VNS-GAU,2025-11-06,VNS,GAU,335,4512.79,INR,124,0.67,559585.96,0,0,,NORMAL,False
PAT-DEL,2025-11-06,PAT,DEL,2730,17768.8,INR,80,0.43,1421504.0,0,0,,NORMAL,False
JAI-IXB,2025-11-06,JAI,IXB,2515,17765.71,INR,185,0.99,3286656.35,0,0,,NORMAL,False
HYD-SXR,2025-11-06,HYD,SXR,1678,11871.16,INR,169,0.91,2006226.04,0,0,,NORMAL,False
IXC-AMD,2025-11-06,IXC,AMD,1153,10139.73,INR,160,0.86,1622356.8,0,0,,NORMAL,False
ATQ-GOI,2025-11-06,ATQ,GOI,1333,10652.79,INR,173,0.93,1842932.67,0,0,,NORMAL,False
CCU-GAU,2025-11-06,CCU,GAU,602,6574.13,INR,162,0.87,1065009.06,0,0,,NORMAL,False
ATQ-PAT,2025-11-06,ATQ,PAT,1107,9857.44,INR,107,0.58,1054746.08,0,0,,NORMAL,False
HYD-PNQ,2025-11-06,HYD,PNQ,420,5879.96,INR,186,1.0,1093672.56,0,0,,NORMAL,False
COK-LKO,2025-11-06,COK,LKO,941,7460.06,INR,157,0.84,1171229.42,0,0,,NORMAL,False
JAI-VNS,2025-11-06,JAI,VNS,1996,11780.65,INR,146,0.78,1719974.9,0,0,,NORMAL,False
CCU-AMD,2025-11-06,CCU,AMD,2728,15728.49,INR,95,0.51,1494206.55,0,0,,NORMAL,False
PNQ-DEL,2025-11-06,PNQ,DEL,1047,9521.15,INR,115,0.62,1094932.25,0,0,,NORMAL,False
IXC-BHO,2025-11-06,IXC,BHO,1660,12942.02,INR,92,0.49,1190665.84,0,0,,NORMAL,False
MAA-GOI,2025-11-06,MAA,GOI,1446,12178.5,INR,185,0.99,2253022.5,0,0,,NORMAL,False
COK-SXR,2025-11-06,COK,SXR,2295,15506.91,INR,135,0.73,2093432.85,0,0,,NORMAL,False
MAA-LKO,2025-11-06,MAA,LKO,1767,10632.19,INR,105,0.56,1116379.95,0,0,,NORMAL,False
ATQ-IXB,2025-11-06,ATQ,IXB,622,7108.83,INR,130,0.7,924147.9,0,0,,NORMAL,False
PAT-BOM,2025-11-06,PAT,BOM,2294,16081.55,INR,173,0.93,2782108.15,0,0,,NORMAL,False
IXC-VNS,2025-11-06,IXC,VNS,1451,10030.98,INR,149,0.8,1494616.02,0,0,,NORMAL,False
MAA-HYD,2025-11-06,MAA,HYD,2715,16219.71,INR,137,0.74,2222100.27,0,0,,NORMAL,False
JAI-PNQ,2025-11-06,JAI,PNQ,1120,8516.31,INR,166,0.89,1413707.46,0,0,,NORMAL,False
JAI-AMD,2025-11-06,JAI,AMD,889,7308.08,INR,115,0.62,840429.2,0,0,,NORMAL,False
IXB-AMD,2025-11-06,IXB,AMD,2286,12992.19,INR,176,0.95,2286625.44,0,0,,NORMAL,False
JAI-IXC,2025-11-06,JAI,IXC,2291,13410.98,INR,87,0.47,1166755.26,0,0,,NORMAL,False
HYD-IXC,2025-11-06,HYD,IXC,582,6422.11,INR,122,0.66,783497.42,0,0,,NORMAL,False
COK-MAA,2025-11-06,COK,MAA,1210,10452.33,INR,108,0.58,1128851.64,0,0,,NORMAL,False
