staff_code,week_number,year,fdtl_phase,night_landings,night_landing_limit,actual_rest_hrs,required_rest_hrs,compliant,reported_by,verified
SC10268,45,2025,Phase_II,1,2,37.6,48,NO,Ops Control,
SC10268,46,2025,Phase_II,1,2,69.4,48,YES,Ops Control,
SC10268,47,2025,Phase_II,7,2,41.9,48,NO,HR System,
SC10268,48,2025,Phase_II,3,2,62.1,48,YES,HR System,False
SC10268,49,2025,Phase_II,2,2,71.8,48,YES,Manual Entry,False
SC10268,50,2025,Phase_II,2,2,58.3,48,YES,Manual Entry,
SC10269,44,2025,Phase_I,4,6,34.0,36,YES,Ops Control,True
SC10269,45,2025,Phase_II,1,2,70.9,48,YES,HR System,
SC10269,46,2025,Phase_II,2,2,67.6,48,YES,Ops Control,
SC10269,47,2025,Phase_II,4,2,46.9,48,NO,HR System,False
SC10269,48,2025,Phase_II,0,2,71.0,48,YES,Manual Entry,True
SC10269,49,2025,Phase_II,1,2,28.9,48,NO,HR System,False
SC10269,50,2025,Phase_II,0,2,64.2,48,YES,HR System,True
SC10270,44,2025,Phase_I,7,6,62.3,36,NO,Manual Entry,
SC10270,45,2025,Phase_II,0,2,32.0,48,NO,Manual Entry,False
SC10270,46,2025,Phase_II,2,2,63.2,48,YES,HR System,
SC10270,47,2025,Phase_II,0,2,34.5,48,NO,Manual Entry,False
SC10270,48,2025,Phase_II,8,2,57.9,48,NO,HR System,
SC10270,49,2025,Phase_II,0,2,52.0,48,YES,HR System,False
SC10270,50,2025,Phase_II,4,2,53.7,48,NO,Ops Control,False
SC10271,44,2025,Phase_I,5,6,51.7,36,YES,Ops Control,
SC10271,45,2025,Phase_II,6,2,47.4,48,NO,Ops Control,
SC10271,46,2025,Phase_II,0,2,52.2,48,YES,Manual Entry,False
SC10271,47,2025,Phase_II,5,2,39.6,48,NO,HR System,False
SC10271,48,2025,Phase_II,0,2,47.2,48,NO,Ops Control,False
SC10271,49,2025,Phase_II,4,2,33.3,48,NO,Ops Control,
SC10271,50,2025,Phase_II,8,2,28.6,48,NO,Ops Control,True
SC10272,44,2025,Phase_I,2,6,56.8,36,YES,Manual Entry,False
SC10272,45,2025,Phase_II,2,2,34.4,48,NO,HR System,
SC10272,46,2025,Phase_II,3,2,43.9,48,NO,Ops Control,True
SC10272,47,2025,Phase_II,0,2,62.9,48,YES,HR System,False
SC10272,48,2025,Phase_II,7,2,67.3,48,NO,HR System,
SC10272,49,2025,Phase_II,6,2,60.4,48,NO,Manual Entry,False
SC10272,50,2025,Phase_II,5,2,47.9,48,NO,Manual Entry,False
SC10273,44,2025,Phase_I,7,6,48.3,36,NO,Ops Control,True
SC10273,45,2025,Phase_II,8,2,48.6,48,NO,Manual Entry,True
SC10273,46,2025,Phase_II,3,2,61.3,48,NO,HR System,
SC10273,47,2025,Phase_II,1,2,36.8,48,NO,Manual Entry,False
SC10273,48,2025,Phase_II,0,2,48.5,48,YES,Manual Entry,False
SC10273,49,2025,Phase_II,0,2,45.6,48,NO,Manual Entry,
SC10273,50,2025,Phase_II,6,2,34.5,48,NO,Manual Entry,
SC10274,44,2025,Phase_I,6,6,63.9,36,YES,Manual Entry,
SC10274,45,2025,Phase_II,8,2,36.8,48,NO,Ops Control,
SC10274,46,2025,Phase_II,6,2,37.7,48,NO,Manual Entry,
SC10274,47,2025,Phase_II,4,2,32.7,48,NO,HR System,
SC10274,48,2025,Phase_II,5,2,49.4,48,NO,Ops Control,False
SC10274,49,2025,Phase_II,1,2,70.4,48,YES,HR System,True
SC10274,50,2025,Phase_II,7,2,30.2,48,NO,HR System,
SC10275,44,2025,Phase_I,5,6,39.1,36,YES,HR System,
SC10275,45,2025,Phase_II,1,2,42.6,48,NO,Manual Entry,
SC10275,46,2025,Phase_II,8,2,38.8,48,NO,Ops Control,
SC10275,47,2025,Phase_II,1,2,63.0,48,YES,HR System,
SC10275,48,2025,Phase_II,0,2,30.5,48,NO,HR System,False
SC10275,49,2025,Phase_II,7,2,39.6,48,NO,Ops Control,
SC10275,50,2025,Phase_II,5,2,71.5,48,NO,Manual Entry,True
SC10276,44,2025,Phase_I,5,6,68.6,36,YES,Ops Control,True
SC10276,45,2025,Phase_II,4,2,69.1,48,NO,Manual Entry,
SC10276,46,2025,Phase_II,8,2,45.6,48,NO,HR System,False
SC10276,47,2025,Phase_II,2,2,55.1,48,YES,Ops Control,True
SC10276,48,2025,Phase_II,2,2,51.6,48,YES,Manual Entry,
SC10276,49,2025,Phase_II,5,2,39.7,48,NO,HR System,False
SC10276,50,2025,Phase_II,5,2,56.1,48,NO,Manual Entry,True
SC10277,44,2025,Phase_I,4,6,56.8,36,YES,HR System,True
SC10277,45,2025,Phase_II,8,2,44.8,48,NO,Manual Entry,False
SC10277,46,2025,Phase_II,5,2,28.7,48,NO,Manual Entry,True
SC10277,47,2025,Phase_II,7,2,53.9,48,NO,Ops Control,False
SC10277,48,2025,Phase_II,4,2,39.4,48,NO,HR System,
SC10277,49,2025,Phase_II,3,2,55.2,48,NO,Ops Control,True
SC10277,50,2025,Phase_II,2,2,47.5,48,NO,HR System,
SC10278,44,2025,Phase_I,2,6,42.8,36,YES,Manual Entry,True
SC10278,45,2025,Phase_II,5,2,28.0,48,NO,HR System,True
SC10278,46,2025,Phase_II,3,2,50.6,48,NO,Manual Entry,True
SC10278,47,2025,Phase_II,0,2,44.1,48,NO,Manual Entry,True
SC10278,48,2025,Phase_II,4,2,60.9,48,NO,HR System,
SC10278,49,2025,Phase_II,3,2,50.7,48,NO,Manual Entry,
SC10278,50,2025,Phase_II,6,2,43.6,48,NO,Ops Control,
SC10279,44,2025,Phase_I,3,6,33.2,36,NO,HR System,False
SC10279,45,2025,Phase_II,5,2,58.2,48,NO,Manual Entry,True
SC10279,46,2025,Phase_II,6,2,39.9,48,NO,Ops Control,True
SC10279,47,2025,Phase_II,7,2,58.4,48,NO,Manual Entry,
SC10279,48,2025,Phase_II,7,2,64.3,48,NO,Manual Entry,True
SC10279,49,2025,Phase_II,7,2,41.5,48,NO,Manual Entry,
SC10279,50,2025,Phase_II,3,2,48.0,48,NO,Ops Control,False
SC10280,44,2025,Phase_I,8,6,30.1,36,NO,Manual Entry,False
SC10280,45,2025,Phase_II,6,2,63.2,48,NO,Manual Entry,True
SC10280,46,2025,Phase_II,0,2,55.2,48,YES,HR System,
SC10280,47,2025,Phase_II,4,2,64.1,48,NO,Ops Control,
SC10280,48,2025,Phase_II,3,2,58.9,48,NO,HR System,True
SC10280,49,2025,Phase_II,2,2,42.9,48,NO,Ops Control,True
SC10280,50,2025,Phase_II,0,2,44.3,48,NO,HR System,False
SC10281,44,2025,Phase_I,7,6,54.3,36,NO,Manual Entry,True
SC10281,45,2025,Phase_II,4,2,66.4,48,NO,HR System,True
SC10281,46,2025,Phase_II,8,2,56.4,48,NO,Manual Entry,False
SC10281,47,2025,Phase_II,3,2,58.2,48,NO,Manual Entry,True
SC10281,48,2025,Phase_II,1,2,44.5,48,NO,Manual Entry,
SC10281,49,2025,Phase_II,6,2,71.3,48,NO,Manual Entry,False
SC10281,50,2025,Phase_II,4,2,32.3,48,NO,Manual Entry,
SC10282,44,2025,Phase_I,2,6,39.2,36,YES,Ops Control,
SC10282,45,2025,Phase_II,5,2,55.5,48,NO,Ops Control,
SC10282,46,2025,Phase_II,0,2,40.9,48,NO,HR System,
SC10282,47,2025,Phase_II,3,2,46.3,48,NO,Ops Control,True
SC10282,48,2025,Phase_II,0,2,67.9,48,YES,Manual Entry,
SC10282,49,2025,Phase_II,5,2,52.9,48,NO,HR System,False
SC10282,50,2025,Phase_II,0,2,39.0,48,NO,Ops Control,True
SC10283,44,2025,Phase_I,4,6,60.2,36,YES,Ops Control,
SC10283,45,2025,Phase_II,0,2,54.4,48,YES,HR System,False
SC10283,46,2025,Phase_II,0,2,43.3,48,NO,Manual Entry,True
SC10283,47,2025,Phase_II,7,2,71.7,48,NO,Manual Entry,False
SC10283,48,2025,Phase_II,2,2,67.7,48,YES,HR System,False
SC10283,49,2025,Phase_II,0,2,37.7,48,NO,Ops Control,
SC10283,50,2025,Phase_II,3,2,29.8,48,YES,Ops Control,True
SC10284,44,2025,Phase_I,3,6,55.6,36,YES,Ops Control,
SC10284,45,2025,Phase_II,5,2,71.8,48,NO,Ops Control,True
SC10284,46,2025,Phase_II,4,2,70.7,48,NO,HR System,True
SC10284,47,2025,Phase_II,5,2,47.1,48,NO,Ops Control,
SC10284,48,2025,Phase_II,1,2,55.4,48,YES,Manual Entry,True
SC10284,49,2025,Phase_II,5,2,54.1,48,NO,Manual Entry,True
SC10284,50,2025,Phase_II,3,2,44.6,48,NO,HR System,
SC10285,44,2025,Phase_I,7,6,64.4,36,NO,Manual Entry,
SC10285,45,2025,Phase_II,5,2,69.6,48,NO,HR System,
SC10285,46,2025,Phase_II,3,2,69.8,48,NO,HR System,True
SC10285,47,2025,Phase_II,2,2,49.6,48,YES,Manual Entry,False
SC10285,48,2025,Phase_II,1,2,30.0,48,NO,Ops Control,
SC10285,49,2025,Phase_II,3,2,67.5,48,NO,Ops Control,
SC10285,50,2025,Phase_II,1,2,62.4,48,YES,Ops Control,True
SC10286,44,2025,Phase_I,0,6,60.8,36,YES,HR System,False
SC10286,45,2025,Phase_II,2,2,32.0,48,NO,Ops Control,True
SC10286,46,2025,Phase_II,0,2,31.9,48,NO,HR System,True
SC10286,47,2025,Phase_II,6,2,68.1,48,NO,Ops Control,
SC10286,48,2025,Phase_II,1,2,33.6,48,NO,HR System,
SC10286,49,2025,Phase_II,7,2,60.8,48,NO,HR System,False
SC10286,50,2025,Phase_II,2,2,59.5,48,YES,Ops Control,
SC10287,44,2025,Phase_I,2,6,51.9,36,YES,HR System,
SC10287,45,2025,Phase_II,8,2,39.5,48,NO,HR System,True
SC10287,46,2025,Phase_II,2,2,62.1,48,YES,Ops Control,True
SC10287,47,2025,Phase_II,2,2,38.9,48,NO,Ops Control,True
SC10287,48,2025,Phase_II,4,2,71.0,48,NO,HR System,
SC10287,49,2025,Phase_II,8,2,67.0,48,NO,Ops Control,True
SC10287,50,2025,Phase_II,5,2,29.6,48,NO,Manual Entry,False
SC10288,44,2025,Phase_I,4,6,65.4,36,YES,Manual Entry,True
SC10288,45,2025,Phase_II,5,2,67.3,48,NO,HR System,
SC10288,46,2025,Phase_II,7,2,46.0,48,NO,Manual Entry,
SC10288,47,2025,Phase_II,2,2,53.8,48,YES,Manual Entry,
SC10288,48,2025,Phase_II,4,2,60.8,48,NO,Manual Entry,False
SC10288,49,2025,Phase_II,8,2,53.4,48,NO,Ops Control,False
SC10288,50,2025,Phase_II,6,2,64.4,48,NO,HR System,
SC10289,44,2025,Phase_I,7,6,41.2,36,NO,Ops Control,True
SC10289,45,2025,Phase_II,7,2,29.5,48,NO,Manual Entry,
SC10289,46,2025,Phase_II,8,2,30.7,48,NO,HR System,True
SC10289,47,2025,Phase_II,4,2,31.9,48,NO,Ops Control,True
SC10289,48,2025,Phase_II,4,2,54.2,48,NO,HR System,False
SC10289,49,2025,Phase_II,8,2,33.8,48,NO,Manual Entry,
SC10289,50,2025,Phase_II,5,2,55.9,48,NO,HR System,False
SC10290,44,2025,Phase_I,7,6,32.4,36,NO,HR System,False
SC10290,45,2025,Phase_II,4,2,38.7,48,NO,Manual Entry,False
SC10290,46,2025,Phase_II,4,2,50.1,48,NO,Ops Control,True
SC10290,47,2025,Phase_II,4,2,62.7,48,NO,Manual Entry,
SC10290,48,2025,Phase_II,5,2,63.5,48,NO,Ops Control,False
SC10290,49,2025,Phase_II,6,2,47.2,48,NO,HR System,False
SC10290,50,2025,Phase_II,3,2,38.5,48,YES,HR System,True
SC10291,44,2025,Phase_I,2,6,48.6,36,YES,Manual Entry,
SC10291,45,2025,Phase_II,2,2,58.9,48,YES,Ops Control,True
SC10291,46,2025,Phase_II,1,2,67.5,48,YES,Ops Control,
SC10291,47,2025,Phase_II,8,2,58.5,48,NO,HR System,
SC10291,48,2025,Phase_II,4,2,67.2,48,NO,Ops Control,
SC10291,49,2025,Phase_II,6,2,43.7,48,NO,Manual Entry,
SC10291,50,2025,Phase_II,8,2,55.9,48,NO,Manual Entry,False
SC10292,44,2025,Phase_I,1,6,60.3,36,YES,Ops Control,True
SC10292,45,2025,Phase_II,1,2,51.8,48,YES,Manual Entry,True
SC10292,46,2025,Phase_II,7,2,58.1,48,NO,HR System,
SC10292,47,2025,Phase_II,4,2,50.9,48,NO,Ops Control,False
SC10292,48,2025,Phase_II,7,2,49.2,48,NO,Manual Entry,
SC10292,49,2025,Phase_II,8,2,32.2,48,NO,Ops Control,
SC10292,50,2025,Phase_II,0,2,34.1,48,NO,Ops Control,True
SC10293,44,2025,Phase_I,4,6,46.0,36,YES,HR System,False
SC10293,45,2025,Phase_II,0,2,55.2,48,YES,HR System,True
SC10293,46,2025,Phase_II,3,2,61.6,48,NO,HR System,False
SC10293,47,2025,Phase_II,4,2,51.7,48,NO,Manual Entry,False
SC10293,48,2025,Phase_II,1,2,37.1,48,NO,Manual Entry,True
SC10293,49,2025,Phase_II,4,2,57.5,48,NO,Ops Control,False
SC10293,50,2025,Phase_II,7,2,60.5,48,NO,Manual Entry,
SC10294,44,2025,Phase_I,8,6,60.0,36,NO,Manual Entry,False
SC10294,45,2025,Phase_II,6,2,38.8,48,NO,Manual Entry,False
SC10294,46,2025,Phase_II,3,2,66.1,48,NO,Manual Entry,True
SC10294,47,2025,Phase_II,2,2,33.9,48,NO,HR System,
SC10294,48,2025,Phase_II,6,2,69.6,48,NO,Ops Control,
SC10294,49,2025,Phase_II,4,2,55.1,48,NO,HR System,
SC10294,50,2025,Phase_II,4,2,52.2,48,NO,Ops Control,
SC10295,44,2025,Phase_I,4,6,60.8,36,YES,Manual Entry,
SC10295,45,2025,Phase_II,4,2,43.8,48,NO,Ops Control,
SC10295,46,2025,Phase_II,3,2,39.6,48,NO,Ops Control,False
SC10295,47,2025,Phase_II,0,2,33.4,48,NO,Manual Entry,True
SC10295,48,2025,Phase_II,6,2,43.8,48,NO,Ops Control,
SC10295,49,2025,Phase_II,0,2,29.9,48,YES,Manual Entry,False
SC10295,50,2025,Phase_II,1,2,55.4,48,YES,Ops Control,
SC10296,44,2025,Phase_I,4,6,59.7,36,YES,Ops Control,False
SC10296,45,2025,Phase_II,1,2,44.3,48,NO,Ops Control,
SC10296,46,2025,Phase_II,8,2,40.6,48,NO,Ops Control,
SC10296,47,2025,Phase_II,4,2,29.0,48,NO,Manual Entry,False
SC10296,48,2025,Phase_II,1,2,58.7,48,YES,Manual Entry,
SC10296,49,2025,Phase_II,2,2,60.8,48,YES,Ops Control,True
SC10296,50,2025,Phase_II,2,2,29.9,48,NO,HR System,True
SC10297,44,2025,Phase_I,8,6,50.6,36,YES,HR System,
SC10297,45,2025,Phase_II,1,2,29.1,48,NO,Ops Control,False
SC10297,46,2025,Phase_II,0,2,70.0,48,YES,Manual Entry,True
SC10297,47,2025,Phase_II,6,2,54.6,48,NO,Ops Control,False
SC10297,48,2025,Phase_II,3,2,35.2,48,NO,HR System,False
SC10297,49,2025,Phase_II,5,2,58.0,48,NO,Ops Control,False
SC10297,50,2025,Phase_II,3,2,43.3,48,NO,Ops Control,
SC10298,44,2025,Phase_I,0,6,47.7,36,YES,Ops Control,True
SC10298,45,2025,Phase_II,5,2,42.4,48,NO,HR System,False
SC10298,46,2025,Phase_II,5,2,39.3,48,NO,Manual Entry,False
SC10298,47,2025,Phase_II,3,2,32.1,48,NO,Manual Entry,
SC10298,48,2025,Phase_II,4,2,66.8,48,NO,Manual Entry,True
SC10298,49,2025,Phase_II,1,2,30.5,48,NO,Ops Control,
SC10298,50,2025,Phase_II,6,2,51.4,48,NO,HR System,True
SC10299,44,2025,Phase_I,0,6,39.0,36,YES,HR System,True
SC10299,45,2025,Phase_II,1,2,39.9,48,NO,Manual Entry,True
SC10299,46,2025,Phase_II,2,2,53.7,48,YES,HR System,True
SC10299,47,2025,Phase_II,7,2,63.1,48,NO,Manual Entry,
SC10299,48,2025,Phase_II,2,2,61.5,48,YES,Manual Entry,
SC10299,49,2025,Phase_II,1,2,41.0,48,NO,Manual Entry,True
SC10299,50,2025,Phase_II,6,2,29.5,48,NO,Ops Control,
SC10300,44,2025,Phase_I,5,6,51.7,36,YES,Ops Control,True
SC10300,45,2025,Phase_II,8,2,58.1,48,NO,Ops Control,
SC10300,46,2025,Phase_II,8,2,33.8,48,NO,Manual Entry,False
SC10300,47,2025,Phase_II,3,2,56.1,48,NO,Manual Entry,True
SC10300,48,2025,Phase_II,5,2,55.7,48,NO,Ops Control,False
SC10300,49,2025,Phase_II,6,2,44.6,48,NO,Ops Control,True
SC10300,50,2025,Phase_II,4,2,60.4,48,NO,HR System,False
SC10301,44,2025,Phase_I,2,6,63.1,36,YES,Ops Control,True
SC10301,45,2025,Phase_II,3,2,58.8,48,NO,Ops Control,True
SC10301,46,2025,Phase_II,8,2,44.4,48,NO,HR System,
SC10301,47,2025,Phase_II,8,2,32.0,48,NO,Manual Entry,
SC10301,48,2025,Phase_II,4,2,29.0,48,NO,Ops Control,
SC10301,49,2025,Phase_II,6,2,63.5,48,NO,Manual Entry,True
SC10301,50,2025,Phase_II,3,2,29.8,48,YES,Manual Entry,False
SC10302,44,2025,Phase_I,1,6,46.6,36,YES,HR System,False
SC10302,45,2025,Phase_II,3,2,49.9,48,NO,Manual Entry,False
SC10302,46,2025,Phase_II,5,2,38.3,48,NO,HR System,True
SC10302,47,2025,Phase_II,7,2,67.5,48,NO,Ops Control,False
SC10302,48,2025,Phase_II,1,2,39.2,48,NO,Manual Entry,True
SC10302,49,2025,Phase_II,4,2,44.7,48,NO,HR System,
SC10302,50,2025,Phase_II,8,2,33.4,48,NO,HR System,
SC10303,44,2025,Phase_I,8,6,56.0,36,YES,HR System,
SC10303,45,2025,Phase_II,6,2,54.1,48,NO,Manual Entry,True
SC10303,46,2025,Phase_II,3,2,65.5,48,NO,Ops Control,False
SC10303,47,2025,Phase_II,6,2,66.9,48,NO,Manual Entry,False
SC10303,48,2025,Phase_II,6,2,54.2,48,NO,HR System,
SC10303,49,2025,Phase_II,0,2,66.2,48,YES,Manual Entry,
SC10303,50,2025,Phase_II,6,2,57.2,48,NO,Ops Control,False
SC10304,44,2025,Phase_I,7,6,66.8,36,NO,Manual Entry,
SC10304,45,2025,Phase_II,8,2,67.0,48,NO,Ops Control,
SC10304,46,2025,Phase_II,6,2,71.7,48,NO,HR System,True
SC10304,47,2025,Phase_II,0,2,71.2,48,YES,Manual Entry,
SC10304,48,2025,Phase_II,5,2,53.3,48,NO,Ops Control,True
SC10304,49,2025,Phase_II,4,2,42.6,48,NO,Manual Entry,False
SC10304,50,2025,Phase_II,7,2,71.2,48,NO,Manual Entry,False
SC10305,44,2025,Phase_I,3,6,40.8,36,YES,HR System,True
SC10305,45,2025,Phase_II,0,2,52.1,48,YES,HR System,True
SC10305,46,2025,Phase_II,2,2,60.8,48,YES,Ops Control,False
SC10305,47,2025,Phase_II,2,2,46.2,48,NO,Manual Entry,
SC10305,48,2025,Phase_II,7,2,71.0,48,NO,Manual Entry,True
SC10305,49,2025,Phase_II,8,2,57.7,48,NO,HR System,
SC10305,50,2025,Phase_II,4,2,32.3,48,NO,Manual Entry,
SC10306,44,2025,Phase_I,2,6,58.0,36,YES,Manual Entry,True
SC10306,45,2025,Phase_II,8,2,54.5,48,NO,Ops Control,
SC10306,46,2025,Phase_II,2,2,71.5,48,YES,Manual Entry,True
SC10306,47,2025,Phase_II,8,2,42.1,48,NO,HR System,
SC10306,48,2025,Phase_II,1,2,46.0,48,NO,HR System,False
SC10306,49,2025,Phase_II,1,2,41.6,48,YES,HR System,
SC10306,50,2025,Phase_II,7,2,58.3,48,NO,HR System,False
SC10307,44,2025,Phase_I,0,6,65.6,36,YES,HR System,True
SC10307,45,2025,Phase_II,7,2,64.1,48,NO,HR System,True
SC10307,46,2025,Phase_II,0,2,57.4,48,YES,HR System,True
SC10307,47,2025,Phase_II,5,2,38.9,48,NO,Ops Control,False
SC10307,48,2025,Phase_II,6,2,35.7,48,NO,Ops Control,
SC10307,49,2025,Phase_II,8,2,42.0,48,NO,HR System,False
SC10307,50,2025,Phase_II,7,2,36.5,48,NO,Manual Entry,True
SC10308,44,2025,Phase_I,8,6,62.5,36,NO,HR System,False
SC10308,45,2025,Phase_II,3,2,68.1,48,NO,Manual Entry,False
SC10308,46,2025,Phase_II,3,2,61.5,48,NO,Ops Control,
SC10308,47,2025,Phase_II,5,2,58.7,48,NO,Ops Control,True
SC10308,48,2025,Phase_II,6,2,55.6,48,NO,Ops Control,False
SC10308,49,2025,Phase_II,0,2,40.1,48,NO,Ops Control,False
SC10308,50,2025,Phase_II,6,2,34.4,48,NO,Ops Control,True
SC10309,44,2025,Phase_I,8,6,39.5,36,NO,Ops Control,False
SC10309,45,2025,Phase_II,1,2,61.8,48,YES,HR System,False
SC10309,46,2025,Phase_II,5,2,48.5,48,NO,Ops Control,False
SC10309,47,2025,Phase_II,0,2,47.0,48,NO,HR System,
SC10309,48,2025,Phase_II,3,2,68.8,48,NO,HR System,True
SC10309,49,2025,Phase_II,1,2,37.7,48,NO,HR System,
SC10309,50,2025,Phase_II,5,2,38.2,48,NO,Ops Control,False
SC10310,44,2025,Phase_I,3,6,45.7,36,YES,Manual Entry,
SC10310,45,2025,Phase_II,7,2,60.3,48,NO,Manual Entry,
SC10310,46,2025,Phase_II,2,2,63.7,48,YES,Ops Control,
SC10310,47,2025,Phase_II,2,2,30.4,48,NO,Ops Control,False
SC10310,48,2025,Phase_II,4,2,59.5,48,NO,Ops Control,
SC10310,49,2025,Phase_II,5,2,55.2,48,NO,Ops Control,True
SC10310,50,2025,Phase_II,1,2,56.8,48,YES,Ops Control,True
SC10311,44,2025,Phase_I,6,6,30.5,36,NO,Ops Control,
SC10311,45,2025,Phase_II,0,2,70.2,48,YES,Manual Entry,True
SC10311,46,2025,Phase_II,7,2,36.5,48,NO,Manual Entry,True
SC10311,47,2025,Phase_II,0,2,33.2,48,NO,HR System,
SC10311,48,2025,Phase_II,8,2,65.4,48,NO,Ops Control,True
SC10311,49,2025,Phase_II,5,2,31.7,48,NO,Manual Entry,True
SC10311,50,2025,Phase_II,1,2,67.3,48,YES,Manual Entry,True
SC10312,44,2025,Phase_I,1,6,58.7,36,YES,HR System,True
SC10312,45,2025,Phase_II,3,2,45.7,48,NO,Manual Entry,
SC10312,46,2025,Phase_II,5,2,66.5,48,NO,HR System,
SC10312,47,2025,Phase_II,4,2,68.0,48,NO,Ops Control,
SC10312,48,2025,Phase_II,0,2,55.2,48,YES,HR System,True
SC10312,49,2025,Phase_II,4,2,71.3,48,NO,Manual Entry,False
SC10312,50,2025,Phase_II,0,2,53.0,48,YES,Ops Control,False
SC10313,44,2025,Phase_I,8,6,46.7,36,NO,Ops Control,
SC10313,45,2025,Phase_II,2,2,69.1,48,YES,Ops Control,
SC10313,46,2025,Phase_II,5,2,66.2,48,NO,Ops Control,True
SC10313,47,2025,Phase_II,5,2,43.4,48,NO,HR System,False
SC10313,48,2025,Phase_II,0,2,46.7,48,NO,HR System,False
SC10313,49,2025,Phase_II,8,2,56.9,48,NO,HR System,False
SC10313,50,2025,Phase_II,7,2,60.7,48,NO,Manual Entry,True
SC10314,44,2025,Phase_I,6,6,67.3,36,YES,Ops Control,False
SC10314,45,2025,Phase_II,2,2,62.6,48,YES,HR System,True
SC10314,46,2025,Phase_II,0,2,32.3,48,NO,Manual Entry,
SC10314,47,2025,Phase_II,2,2,51.5,48,YES,HR System,False
SC10314,48,2025,Phase_II,7,2,28.2,48,NO,Manual Entry,True
SC10314,49,2025,Phase_II,8,2,64.3,48,NO,Ops Control,False
SC10314,50,2025,Phase_II,5,2,71.0,48,NO,HR System,False
SC10315,44,2025,Phase_I,3,6,35.1,36,NO,HR System,True
SC10315,45,2025,Phase_II,0,2,36.6,48,NO,Manual Entry,True
SC10315,46,2025,Phase_II,5,2,30.9,48,NO,Ops Control,
SC10315,47,2025,Phase_II,0,2,54.2,48,YES,HR System,False
SC10315,48,2025,Phase_II,2,2,63.1,48,YES,Ops Control,True
SC10315,49,2025,Phase_II,6,2,54.4,48,NO,Manual Entry,False
SC10315,50,2025,Phase_II,3,2,39.9,48,NO,Manual Entry,
SC10316,44,2025,Phase_I,1,6,48.6,36,YES,HR System,
SC10316,45,2025,Phase_II,3,2,49.5,48,NO,Ops Control,False
SC10316,46,2025,Phase_II,1,2,29.7,48,NO,Ops Control,False
SC10316,47,2025,Phase_II,2,2,38.2,48,NO,HR System,False
SC10316,48,2025,Phase_II,4,2,54.0,48,NO,HR System,False
SC10316,49,2025,Phase_II,5,2,66.7,48,NO,HR System,
SC10316,50,2025,Phase_II,0,2,69.4,48,YES,Ops Control,
SC10317,44,2025,Phase_I,5,6,40.4,36,YES,Manual Entry,
SC10317,45,2025,Phase_II,5,2,40.6,48,NO,Ops Control,
SC10317,46,2025,Phase_II,5,2,46.4,48,NO,HR System,True
SC10317,47,2025,Phase_II,7,2,41.4,48,NO,Manual Entry,
SC10317,48,2025,Phase_II,3,2,65.9,48,NO,HR System,True
SC10317,49,2025,Phase_II,5,2,53.9,48,NO,HR System,False
SC10317,50,2025,Phase_II,7,2,57.8,48,NO,HR System,True
SC10318,44,2025,Phase_I,2,6,41.6,36,YES,Ops Control,False
SC10318,45,2025,Phase_II,0,2,42.2,48,NO,Ops Control,
SC10318,46,2025,Phase_II,7,2,67.6,48,NO,Ops Control,True
SC10318,47,2025,Phase_II,4,2,49.8,48,NO,HR System,
SC10318,48,2025,Phase_II,4,2,67.4,48,NO,Ops Control,False
SC10318,49,2025,Phase_II,3,2,56.3,48,NO,Manual Entry,True
SC10318,50,2025,Phase_II,2,2,53.2,48,YES,Ops Control,False
SC10319,44,2025,Phase_I,1,6,55.7,36,YES,HR System,
SC10319,45,2025,Phase_II,0,2,71.7,48,YES,Ops Control,False
SC10319,46,2025,Phase_II,8,2,32.7,48,NO,Manual Entry,True
SC10319,47,2025,Phase_II,2,2,45.4,48,NO,Ops Control,True
SC10319,48,2025,Phase_II,6,2,32.7,48,NO,HR System,False
SC10319,49,2025,Phase_II,1,2,51.2,48,YES,Ops Control,False
SC10319,50,2025,Phase_II,5,2,59.4,48,NO,HR System,
SC10320,44,2025,Phase_I,3,6,43.4,36,YES,Manual Entry,
SC10320,45,2025,Phase_II,0,2,59.7,48,YES,Manual Entry,False
SC10320,46,2025,Phase_II,8,2,45.4,48,NO,Ops Control,True
SC10320,47,2025,Phase_II,4,2,44.7,48,NO,Manual Entry,False
SC10320,48,2025,Phase_II,8,2,33.0,48,NO,Manual Entry,False
SC10320,49,2025,Phase_II,8,2,32.1,48,NO,Manual Entry,False
SC10320,50,2025,Phase_II,3,2,70.0,48,NO,Manual Entry,False
SC10321,44,2025,Phase_I,0,6,29.7,36,NO,Manual Entry,
SC10321,45,2025,Phase_II,3,2,55.4,48,NO,Ops Control,True
SC10321,46,2025,Phase_II,7,2,37.9,48,NO,HR System,
SC10321,47,2025,Phase_II,3,2,53.3,48,NO,HR System,False
SC10321,48,2025,Phase_II,5,2,64.0,48,NO,HR System,True
SC10321,49,2025,Phase_II,3,2,68.3,48,NO,HR System,True
SC10321,50,2025,Phase_II,2,2,67.1,48,YES,Ops Control,False
SC10322,44,2025,Phase_I,3,6,71.3,36,YES,HR System,
SC10322,45,2025,Phase_II,5,2,61.9,48,NO,HR System,True
SC10322,46,2025,Phase_II,4,2,30.9,48,NO,HR System,
SC10322,47,2025,Phase_II,6,2,70.4,48,NO,Ops Control,
SC10322,48,2025,Phase_II,4,2,48.5,48,NO,Manual Entry,True
SC10322,49,2025,Phase_II,7,2,38.3,48,NO,Manual Entry,False
